Hfile1000  2025032112000000001000
Did932     Record 932                    000000001932
Did933     Record 933                    000000001933
Did934     Record 934                    000000001934
Did935     Record 935                    000000001935
Did936     Record 936                    000000001936
Did937     Record 937                    000000001937
Did938     Record 938                    000000001938
Did939     Record 939                    000000001939
Did940     Record 940                    000000001940
Did941     Record 941                    000000001941
Did942     Record 942                    000000001942
Did943     Record 943                    000000001943
Did944     Record 944                    000000001944
Did945     Record 945                    000000001945
Did946     Record 946                    000000001946
Did947     Record 947                    000000001947
Did948     Record 948                    000000001948
Did949     Record 949                    000000001949
Did950     Record 950                    000000001950
Did951     Record 951                    000000001951
Did952     Record 952                    000000001952
Did953     Record 953                    000000001953
Did954     Record 954                    000000001954
Did955     Record 955                    000000001955
Did956     Record 956                    000000001956
Did957     Record 957                    000000001957
Did958     Record 958                    000000001958
Did959     Record 959                    000000001959
Did960     Record 960                    000000001960
Did961     Record 961                    000000001961
Did962     Record 962                    000000001962
Did963     Record 963                    000000001963
Did964     Record 964                    000000001964
Did965     Record 965                    000000001965
Did966     Record 966                    000000001966
Did967     Record 967                    000000001967
Did968     Record 968                    000000001968
Did969     Record 969                    000000001969
Did970     Record 970                    000000001970
Did971     Record 971                    000000001971
Did972     Record 972                    000000001972
Did973     Record 973                    000000001973
Did974     Record 974                    000000001974
Did975     Record 975                    000000001975
Did976     Record 976                    000000001976
Did977     Record 977                    000000001977
Did978     Record 978                    000000001978
Did979     Record 979                    000000001979
Did980     Record 980                    000000001980
Did981     Record 981                    000000001981
Did982     Record 982                    000000001982
Did983     Record 983                    000000001983
Did984     Record 984                    000000001984
Did985     Record 985                    000000001985
Did986     Record 986                    000000001986
Did987     Record 987                    000000001987
Did988     Record 988                    000000001988
Did989     Record 989                    000000001989
Did990     Record 990                    000000001990
Did991     Record 991                    000000001991
Did992     Record 992                    000000001992
Did993     Record 993                    000000001993
Did994     Record 994                    000000001994
Did995     Record 995                    000000001995
Did996     Record 996                    000000001996
Did997     Record 997                    000000001997
Did998     Record 998                    000000001998
Did999     Record 999                    000000001999
Did1000    Record 1000                   000000002000
F000000100000000000000001499050
